Tm_(C),m_(kcal/mol/M),Cm_(M),∆G_H2O_(kcal/mol)
,1.7,,
,1.8,,
,1.4,,
,1.0,,
,1.3,,
,3.0,,
,1.5,,
,1.45,,
,1.1,,
,1.4,,
,2.6,,
,3.8,,
,5.0,,
,3.0,,
,3.3,,
,7.0,,
,1.7,,
,2.8,,
,1.9,,
,6.0,,
,0.0008,,2.26
,0.001,,0.77
,0.001,,1.58
,0.001,,2.42
72.0,,,
67.0,,,
66.0,,,
77.0,,,
71.3,,,
44.7,,,
,1.33,,2.95
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
58.7,,,
59.9,,,
60.0,,,
60.3,,,
60.8,,,
61.1,,,
61.2,,,
61.4,,,
62.0,,,
62.5,,,
63.2,,,
64.1,,,
64.1,,,
64.4,,,
64.0,,,
65.6,,,
66.7,,,
68.1,,,
69.3,,,
72.3,,,
73.0,,,
33.7,,,
37.2,,,
40.7,,,
48.9,,,
45.8,,,
47.8,,,
46.2,,,
50.6,,,
49.8,,,
50.6,,,
46.4,,,
,1.41,3.94,5.377635
,1.12,5.25,5.9512494
,1.31,4.22,5.736144
,1.34,3.98,5.4254362
54.1,,,
58.0,,,
96.0,,,
52.8,,,
57.2,,,
81.5,,,
53.5,,,
55.9,,,
79.0,,,
50.6,,,
50.1,,,
76.3,,,
63.2,,,
63.4,,,
63.6,,,
62.0,,,
60.0,,,
60.8,,,
51.7,,,
67.3,,,
65.8,,,
62.6,,,
61.0,,,
60.1,,,
61.2,,,
53.4,,,
62.5,,,
41.7,,,
37.9,,,
64.3,,,
45.1,,,
37.8,,,
,2.05,,6.87
,1.69,,4.82
,1.78,,6.22
,1.5,,3.54
,1.54,,3.41
,2.0,,7.49
,1.92,,5.98
,1.82,,6.71
,2.48,,3.63
,2.38,,3.4
,1.91,,5.91
,1.3,,1.73
,1.55,,1.75
,2.39,,7.87
,1.83,,3.23
,1.28,,1.45
,1.7,,5.3
,1.3,,3.0
,1.1,,2.2
,0.9,,1.7
,0.6,,1.5
81.8,,,
82.5,,,
55.0,,,
54.4,,,
80.4,,,
54.1,,,
79.6,,,
85.0,,,
81.1,,,
76.7,,,
76.1,,,
,,,
67.8,,,
68.7,,,
,,,
,-6.46,1.86,-7.06
,-6.13,1.82,-6.51
,-5.85,1.85,-6.4
51.27,,,
63.52,,,
46.69,,,
69.58,,,
62.02,,,
61.63,,,
75.6,,,
78.8,,,
76.5,,,
79.8,,,
85.6,,,
77.2,,,
80.2,,,
85.8,,,
77.3,,,
80.5,,,
85.1,,,
77.7,,,
81.7,,,
87.0,,,
77.9,,,
80.3,,,
85.4,,,
78.8,,,
80.0,,,
86.8,,,
77.2,,,
79.5,,,
82.8,,,
88.2,,,
79.6,,,
80.8,,,
84.4,,,
90.6,,,
81.4,,,
84.6,,,
90.4,,,
81.5,,,
84.7,,,
89.8,,,
82.0,,,
84.4,,,
89.4,,,
82.3,,,
84.9,,,
83.6,,,
87.3,,,
93.3,,,
86.7,,,
90.4,,,
95.5,,,
54.4,,,
61.5,,,
59.2,,,
61.4,,,
56.3,,,
58.9,,,
58.8,,,
60.1,,,
51.2,,,
53.2,,,
55.7,,,
56.2,,,
57.9,,,
52.7,,,
,,,
,,,
,,,
65.0,,,
48.0,,,
51.5,,,
54.0,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
53.1,,,
51.9,,,
59.5,,,
67.1,,,
63.2,,,
61.8,,,
61.4,,,
60.9,,,
60.3,,,
60.3,,,
58.9,,,
58.9,,,
57.9,,,
57.7,,,
57.5,,,
57.2,,,
56.9,,,
56.8,,,
56.4,,,
56.2,,,
56.2,,,
56.2,,,
55.2,,,
55.2,,,
55.0,,,
54.9,,,
54.4,,,
54.3,,,
54.3,,,
20.0,,,
60.8,,,
71.7,,,
55.8,,,
64.1,,,
55.2,,,
38.8,,,
57.2,,,
54.3,,,
58.8,,,
56.6,,,
56.6,,,
53.7,,,
55.9,,,
52.8,,,
