iter	Passed	Remaining
0	21	640226
1	40	614077
2	59	595105
3	79	593859
4	98	592066
5	119	598670
6	140	603099
7	159	599506
8	180	601409
9	200	601299
10	221	602898
11	238	595964
12	255	589278
13	271	582469
14	286	573185
15	305	572140
16	320	565960
17	340	566709
18	356	562284
19	375	562174
20	392	559707
21	409	557581
22	425	555218
23	440	550344
24	457	548375
25	475	548027
26	491	545156
27	507	543097
28	524	542367
29	541	541038
30	558	539973
31	574	537628
32	590	536028
33	604	532778
34	620	531616
35	639	532311
36	656	531793
37	673	531189
38	690	530500
39	707	529741
40	724	529159
41	741	528788
42	757	527384
43	773	526708
44	788	525001
45	804	523890
46	818	521716
47	834	520652
48	850	519881
49	864	518015
50	881	517381
51	898	517391
52	915	517305
53	931	516662
54	948	516423
55	965	516307
56	981	515570
57	996	514326
58	1010	512642
59	1026	512345
60	1041	510948
61	1055	509725
62	1071	509264
63	1092	510803
64	1107	510229
65	1123	509374
66	1141	509835
67	1157	509537
68	1175	509772
69	1191	509460
70	1210	510450
71	1227	510162
72	1242	509479
73	1257	508445
74	1272	507806
75	1288	507198
76	1304	507103
77	1320	506418
78	1334	505459
79	1348	504523
80	1364	504069
81	1379	503349
82	1394	502758
83	1410	502260
84	1427	502433
85	1442	501923
86	1458	501599
87	1476	502015
88	1493	502019
89	1510	502084
90	1525	501435
91	1545	502424
92	1561	502239
93	1579	502503
94	1595	502385
95	1612	502281
96	1630	502605
97	1644	501792
98	1661	501895
99	1677	501566
100	1692	500884
101	1708	500772
102	1724	500622
103	1742	500789
104	1757	500285
105	1772	499896
106	1790	500253
107	1808	500572
108	1823	500108
109	1840	500052
110	1857	500129
111	1874	500246
112	1889	499636
113	1904	499240
114	1922	499563
115	1948	501881
116	1964	501662
117	1980	501616
118	1995	501006
119	2009	500432
120	2025	500228
121	2040	499636
122	2056	499485
123	2072	499459
124	2090	499685
125	2107	499780
126	2123	499574
127	2141	499677
128	2159	499941
129	2174	499723
130	2190	499428
131	2206	499292
132	2221	498833
133	2238	498839
134	2254	498800
135	2272	498937
136	2288	498941
137	2305	498885
138	2320	498460
139	2335	498045
140	2351	498035
141	2368	498044
142	2384	497936
143	2402	498027
144	2417	497737
145	2435	498093
146	2452	497969
147	2468	497803
148	2483	497647
149	2498	497232
150	2514	497142
151	2531	497204
152	2547	496931
153	2564	496995
154	2582	497349
155	2599	497354
156	2618	497666
157	2634	497592
158	2650	497424
159	2666	497280
160	2681	496926
161	2697	496819
162	2712	496470
163	2727	496221
164	2744	496240
165	2762	496508
166	2778	496283
167	2796	496558
168	2813	496691
169	2829	496455
170	2846	496589
171	2864	496839
172	2879	496526
173	2894	496185
174	2910	495971
175	2928	496304
176	2946	496376
177	2963	496459
178	2979	496298
179	2994	496034
180	3010	496013
181	3025	495752
182	3043	495889
183	3059	495826
184	3077	495915
185	3091	495495
186	3108	495510
187	3125	495661
188	3143	495892
189	3158	495591
190	3174	495429
191	3191	495459
192	3206	495220
193	3223	495281
194	3241	495459
195	3256	495187
196	3272	495067
197	3288	494936
198	3304	494857
199	3324	495312
200	3340	495202
201	3356	495110
202	3372	495074
203	3389	495097
204	3404	494807
205	3422	495020
206	3437	494732
207	3452	494446
208	3467	494260
209	3483	494142
210	3498	493955
211	3513	493697
212	3528	493446
213	3546	493584
214	3561	493366
215	3576	493215
216	3591	492869
217	3608	492950
218	3625	493032
219	3641	492927
220	3658	492941
221	3674	492911
222	3691	492955
223	3709	493062
224	3726	493095
225	3741	492856
226	3760	493193
227	3777	493289
228	3793	493119
229	3807	492810
230	3822	492629
231	3841	492925
232	3859	493118
233	3879	493436
234	3894	493264
235	3910	493193
236	3927	493231
237	3944	493307
238	3962	493433
239	3977	493225
240	3994	493284
241	4012	493355
242	4027	493170
243	4046	493467
244	4064	493616
245	4079	493411
246	4094	493191
247	4109	493042
248	4127	493130
249	4142	492971
250	4159	493044
251	4176	493014
252	4192	492921
253	4206	492658
254	4223	492612
255	4239	492610
256	4256	492596
257	4274	492736
258	4290	492706
259	4308	492839
260	4325	492849
261	4342	492839
262	4358	492848
263	4375	492854
264	4391	492786
265	4408	492824
266	4424	492756
267	4439	492573
268	4457	492653
269	4471	492413
270	4488	492369
271	4503	492239
272	4520	492196
273	4537	492309
274	4552	492131
275	4568	491954
276	4583	491805
277	4600	491889
278	4617	491900
279	4634	491964
280	4651	491900
281	4668	492012
282	4683	491829
283	4699	491703
284	4717	491861
285	4733	491785
286	4749	491764
287	4766	491771
288	4783	491822
289	4798	491643
290	4813	491459
291	4830	491444
292	4845	491315
293	4861	491208
294	4879	491344
295	4898	491550
296	4917	491791
297	4934	491799
298	4951	491877
299	4968	491930
300	4985	491904
301	5003	492027
302	5021	492143
303	5039	492260
304	5053	492051
305	5069	491927
306	5083	491660
307	5098	491526
308	5113	491349
309	5130	491326
310	5147	491349
311	5162	491214
312	5177	491084
313	5193	491010
314	5208	490884
315	5224	490795
316	5242	490902
317	5256	490667
318	5274	490741
319	5291	490782
320	5308	490800
321	5323	490689
322	5338	490519
323	5354	490390
324	5369	490293
325	5385	490219
326	5405	490472
327	5420	490349
328	5437	490402
329	5453	490288
330	5467	490115
331	5482	489966
332	5502	490217
333	5517	490104
334	5534	490053
335	5549	489962
336	5565	489850
337	5582	489868
338	5597	489731
339	5614	489781
340	5630	489718
341	5647	489789
342	5663	489715
343	5681	489757
344	5697	489752
345	5714	489750
346	5729	489641
347	5743	489419
348	5759	489284
349	5774	489217
350	5790	489092
351	5804	488918
352	5821	488898
353	5837	488840
354	5854	488888
355	5869	488739
356	5885	488688
357	5903	488839
358	5918	488680
359	5934	488597
360	5949	488491
361	5965	488422
362	5982	488457
363	5998	488409
364	6016	488521
365	6032	488415
366	6049	488442
367	6066	488453
368	6083	488486
369	6098	488376
370	6117	488535
371	6133	488488
372	6148	488363
373	6164	488311
374	6180	488294
375	6195	488153
376	6211	488059
377	6230	488272
378	6247	488281
379	6264	488330
380	6283	488470
381	6299	488416
382	6316	488437
383	6334	488539
384	6352	488616
385	6369	488653
386	6387	488731
387	6403	488718
388	6418	488555
389	6434	488493
390	6451	488511
391	6467	488461
392	6482	488381
393	6499	488357
394	6515	488329
395	6531	488300
396	6546	488152
397	6562	488091
398	6578	488035
399	6592	487863
400	6607	487736
401	6622	487624
402	6637	487474
403	6653	487383
404	6670	487407
405	6687	487488
406	6703	487383
407	6721	487477
408	6736	487369
409	6751	487264
410	6768	487298
411	6783	487175
412	6800	487147
413	6817	487193
414	6834	487199
415	6851	487236
416	6871	487455
417	6886	487382
418	6905	487495
419	6922	487542
420	6939	487595
421	6955	487529
422	6973	487594
423	6988	487513
424	7004	487448
425	7021	487463
426	7037	487369
427	7053	487323
428	7068	487264
429	7085	487241
430	7102	487279
431	7120	487375
432	7138	487467
433	7156	487555
434	7173	487558
435	7191	487641
436	7207	487561
437	7224	487636
438	7242	487667
439	7259	487706
440	7274	487557
441	7291	487600
442	7305	487453
443	7324	487541
444	7339	487441
445	7353	487296
446	7369	487206
447	7387	487288
448	7402	487195
449	7417	487102
450	7434	487100
451	7450	487030
452	7465	486925
453	7481	486903
454	7496	486769
455	7512	486729
456	7527	486635
457	7543	486598
458	7560	486617
459	7576	486532
460	7590	486388
461	7606	486352
462	7624	486411
463	7644	486583
464	7661	486644
465	7678	486662
466	7696	486741
467	7714	486831
468	7730	486733
469	7745	486673
470	7763	486742
471	7779	486682
472	7796	486722
473	7815	486846
474	7832	486830
475	7849	486883
476	7865	486813
477	7882	486858
478	7900	486890
479	7915	486798
480	7930	486706
481	7945	486589
482	7962	486603
483	7979	486600
484	7997	486678
485	8013	486668
486	8027	486477
487	8043	486433
488	8058	486340
489	8076	486401
490	8092	486386
491	8108	486301
492	8126	486386
493	8142	486370
494	8159	486349
495	8175	486327
496	8190	486233
497	8206	486139
498	8224	486208
499	8238	486057
500	8257	486195
501	8272	486103
502	8287	485982
503	8303	485971
504	8319	485894
505	8335	485865
506	8352	485860
507	8367	485784
508	8382	485695
509	8399	485660
510	8414	485580
511	8430	485551
512	8447	485583
513	8463	485519
514	8480	485509
515	8494	485359
516	8510	485353
517	8528	485381
518	8545	485403
519	8562	485413
520	8579	485417
521	8594	485327
522	8612	485400
523	8630	485475
524	8646	485423
525	8662	485373
526	8679	485402
527	8698	485524
528	8715	485546
529	8731	485509
530	8748	485516
531	8765	485513
532	8782	485532
533	8799	485531
534	8813	485414
535	8830	485428
536	8846	485381
537	8863	485407
538	8880	485376
539	8896	485334
540	8913	485362
541	8929	485317
542	8946	485319
543	8966	485524
544	8982	485489
545	8998	485450
546	9014	485385
547	9030	485353
548	9046	485276
549	9061	485225
550	9079	485240
551	9093	485093
552	9108	485049
553	9127	485123
554	9143	485122
555	9162	485192
556	9180	485270
557	9198	485327
558	9213	485259
559	9230	485249
560	9245	485159
561	9262	485155
562	9280	485219
563	9298	485295
564	9318	485445
565	9334	485413
566	9350	485362
567	9364	485249
568	9380	485175
569	9396	485163
570	9412	485104
571	9428	485096
572	9444	485020
573	9462	485084
574	9476	484965
575	9494	484991
576	9511	485023
577	9528	485047
578	9545	485065
579	9562	485027
580	9579	485075
581	9595	485025
582	9611	484959
583	9626	484865
584	9642	484850
585	9661	484948
586	9679	484990
587	9695	484975
588	9713	485047
589	9731	485070
590	9746	484988
591	9761	484914
592	9778	484915
593	9795	484931
594	9812	484916
595	9828	484882
596	9843	484815
597	9859	484777
598	9877	484802
599	9892	484734
600	9908	484704
601	9925	484686
602	9941	484646
603	9957	484613
604	9973	484598
605	9991	484626
606	10006	484559
607	10021	484451
608	10039	484522
609	10054	484443
610	10072	484499
611	10088	484439
612	10106	484519
613	10122	484483
614	10140	484514
615	10159	484625
616	10179	484777
617	10195	484728
618	10212	484742
619	10227	484670
620	10246	484734
621	10263	484756
622	10278	484669
623	10294	484610
624	10310	484577
625	10327	484584
626	10343	484574
627	10360	484580
628	10378	484615
629	10395	484646
630	10412	484626
631	10427	484538
632	10444	484533
633	10460	484510
634	10475	484426
635	10492	484442
636	10508	484406
637	10524	484351
638	10540	484321
639	10556	484299
640	10573	484275
641	10590	484284
642	10605	484197
643	10620	484140
644	10637	484118
645	10654	484149
646	10670	484108
647	10687	484109
648	10703	484086
649	10719	484038
650	10736	484033
651	10752	484014
652	10769	484009
653	10784	483932
654	10802	483965
655	10816	483858
656	10832	483822
657	10848	483776
658	10863	483687
659	10878	483607
660	10893	483502
661	10908	483420
662	10923	483355
663	10939	483332
664	10954	483243
665	10969	483145
666	10987	483204
667	11002	483136
668	11018	483094
669	11035	483111
670	11054	483173
671	11070	483129
672	11087	483139
673	11102	483077
674	11119	483059
675	11136	483088
676	11152	483049
677	11167	482987
678	11185	483031
679	11202	483016
680	11218	482991
681	11235	483004
682	11253	483034
683	11269	483012
684	11287	483062
685	11304	483067
686	11321	483055
687	11338	483071
688	11354	483027
689	11371	483045
690	11387	482989
691	11405	483056
692	11421	483003
693	11436	482915
694	11450	482817
695	11469	482896
696	11487	482951
697	11505	483014
698	11521	482945
699	11536	482905
700	11552	482838
701	11567	482777
702	11583	482715
703	11600	482759
704	11616	482720
705	11631	482637
706	11647	482568
707	11664	482595
708	11681	482585
709	11698	482606
710	11714	482558
711	11728	482456
712	11745	482440
713	11763	482500
714	11781	482546
715	11797	482519
716	11814	482535
717	11833	482613
718	11850	482616
719	11867	482592
720	11883	482564
721	11900	482563
722	11916	482534
723	11930	482445
724	11948	482455
725	11962	482355
726	11978	482331
727	11994	482292
728	12009	482215
729	12026	482209
730	12044	482259
731	12063	482335
732	12079	482305
733	12097	482344
734	12112	482265
735	12127	482194
736	12144	482198
737	12161	482219
738	12177	482174
739	12194	482171
740	12211	482172
741	12226	482104
742	12242	482061
743	12257	482010
744	12275	482039
745	12292	482061
746	12309	482035
747	12326	482033
748	12342	482026
749	12359	482035
750	12378	482108
751	12395	482092
752	12411	482076
753	12429	482108
754	12446	482097
755	12461	482056
756	12479	482093
757	12496	482072
758	12514	482146
759	12530	482075
760	12547	482091
761	12562	482036
762	12578	481980
763	12592	481883
764	12608	481858
765	12624	481799
766	12641	481809
767	12658	481823
768	12673	481741
769	12689	481723
770	12704	481646
771	12720	481616
772	12736	481549
773	12751	481493
774	12766	481428
775	12784	481449
776	12799	481377
777	12816	481375
778	12833	481398
779	12849	481346
780	12866	481363
781	12885	481433
782	12901	481414
783	12919	481436
784	12933	481357
785	12950	481332
786	12966	481310
787	12981	481256
788	12997	481202
789	13013	481162
790	13030	481175
791	13046	481128
792	13061	481086
793	13076	480994
794	13091	480922
795	13108	480925
796	13125	480941
797	13144	480999
798	13162	481032
799	13181	481121
800	13198	481116
801	13216	481160
802	13232	481141
803	13250	481175
804	13267	481174
805	13283	481140
806	13299	481096
807	13315	481069
808	13333	481093
809	13347	481017
810	13367	481110
811	13382	481061
812	13399	481036
813	13415	481030
814	13431	480988
815	13449	481021
816	13466	481019
817	13482	480994
818	13499	480978
819	13514	480915
820	13530	480869
821	13547	480897
822	13565	480911
823	13581	480897
824	13598	480903
825	13615	480896
826	13634	480975
827	13651	480981
828	13668	480974
829	13686	481003
830	13702	480962
831	13721	481052
832	13737	481006
833	13754	481005
834	13771	480998
835	13785	480917
836	13801	480875
837	13818	480868
838	13837	480940
839	13852	480875
840	13869	480878
841	13884	480807
842	13901	480828
843	13918	480819
844	13934	480794
845	13952	480816
846	13970	480835
847	13985	480798
848	14001	480744
849	14017	480724
850	14034	480719
851	14049	480659
852	14066	480655
853	14084	480679
854	14099	480633
855	14116	480635
856	14132	480592
857	14150	480625
858	14168	480653
859	14185	480668
860	14204	480719
861	14220	480705
862	14239	480759
863	14256	480764
864	14274	480790
865	14291	480806
866	14306	480742
867	14322	480691
868	14336	480603
869	14352	480558
870	14368	480540
871	14386	480550
872	14404	480602
873	14420	480553
874	14438	480588
875	14454	480565
876	14474	480668
877	14489	480610
878	14505	480568
879	14523	480611
880	14540	480592
881	14556	480550
882	14571	480502
883	14586	480443
884	14604	480459
885	14622	480482
886	14638	480473
887	14656	480479
888	14672	480450
889	14688	480433
890	14706	480450
891	14723	480454
892	14740	480453
893	14756	480438
894	14776	480518
895	14794	480570
896	14813	480615
897	14828	480566
898	14846	480592
899	14864	480619
900	14882	480637
901	14900	480670
902	14916	480642
903	14933	480641
904	14948	480578
905	14964	480541
906	14980	480526
907	14997	480510
908	15015	480537
909	15031	480503
910	15047	480485
911	15062	480413
912	15077	480351
913	15092	480288
914	15107	480208
915	15122	480147
916	15139	480148
917	15153	480067
918	15168	479999
919	15185	479990
920	15203	480035
921	15219	479979
922	15235	479962
923	15253	479988
924	15271	480033
925	15288	480033
