iter	RMSE
0	0.9859068235
1	0.9727148722
2	0.9566698376
3	0.9439124747
4	0.9313471923
5	0.9173000762
6	0.9059305156
7	0.8933336547
8	0.8837618156
9	0.87318342
10	0.8615587582
11	0.8523457312
12	0.842049505
13	0.8311031106
14	0.8224747268
15	0.8120620543
16	0.8041348624
17	0.7959815204
18	0.7891545441
19	0.7819731434
20	0.7733092244
21	0.766599182
22	0.7599221794
23	0.7543828477
24	0.7484523351
25	0.7421631847
26	0.7379586074
27	0.7326342269
28	0.726852821
29	0.7205536733
30	0.7153585439
31	0.71094401
32	0.7062351779
33	0.7003253355
34	0.697234006
35	0.6912410025
36	0.6872737977
37	0.6830492633
38	0.6782073093
39	0.6745344864
40	0.6709565563
41	0.6675007568
42	0.6633119189
43	0.6600939934
44	0.6566729422
45	0.6536793042
46	0.6511256395
47	0.6479901959
48	0.6455626245
49	0.6421009504
50	0.6378946167
51	0.636059448
52	0.6332914862
53	0.6308131389
54	0.6278691682
55	0.6251995625
56	0.6233645751
57	0.6217726212
58	0.6196193799
59	0.6174226709
60	0.6151371494
61	0.6127754231
62	0.6109544277
63	0.6090668378
64	0.606742979
65	0.6051992433
66	0.6036392329
67	0.601385195
68	0.5994573952
69	0.5970697932
70	0.5950034958
71	0.5933661075
72	0.5912181736
73	0.5896241592
74	0.5883625551
75	0.5868925947
76	0.5855963814
77	0.5842704665
78	0.5824370676
79	0.5808051661
80	0.5797422518
81	0.5781928413
82	0.5766222602
83	0.5750615173
84	0.5740478746
85	0.5725787402
86	0.5711292719
87	0.5701484101
88	0.5693974851
89	0.5687036319
90	0.5677811215
91	0.5668339827
92	0.5656254247
93	0.5645818484
94	0.5633714714
95	0.5626967266
96	0.5617635711
97	0.5609506222
98	0.5597997933
99	0.5589164635
100	0.5581897467
101	0.5574390699
102	0.5566252368
103	0.5557029703
104	0.5548056437
105	0.5540106043
106	0.5530216019
107	0.5523599803
108	0.5514765769
109	0.5503336112
110	0.5497968787
111	0.5490426943
112	0.5483192674
113	0.5479264382
114	0.546933771
115	0.5457369566
116	0.5448614468
117	0.5444080736
118	0.5438273717
119	0.5433119677
120	0.5424881551
121	0.5419344945
122	0.5410785023
123	0.5399943715
124	0.5393616876
125	0.5384652634
126	0.5376230486
127	0.5369295333
128	0.5359558807
129	0.5354460933
130	0.5350998013
131	0.5340159179
132	0.5329187363
133	0.5323430855
134	0.5315238887
135	0.5306387851
136	0.5300974565
137	0.5295227522
138	0.5288595604
139	0.5284045174
140	0.5280126279
141	0.5270268988
142	0.5265572784
143	0.5258445562
144	0.5250301049
145	0.5245178048
146	0.5238999492
147	0.5232928436
148	0.5226259274
149	0.5220800865
150	0.5215258132
151	0.5210338194
152	0.5207181134
153	0.5198419853
154	0.5191663435
155	0.5188513589
156	0.5183158356
157	0.5177279073
158	0.517341232
159	0.5167391731
160	0.5163250695
161	0.5159457708
162	0.5152291267
163	0.5144815716
164	0.5140253574
165	0.5133480192
166	0.512899205
167	0.5121344065
168	0.5116915406
169	0.5112875497
170	0.5110002706
171	0.5100909499
172	0.5093905841
173	0.5087805818
174	0.5082728394
175	0.5079406722
176	0.5074296711
177	0.5071389046
178	0.5067094028
179	0.5060275253
180	0.5057158463
181	0.505280891
182	0.5048473307
183	0.5045355499
184	0.5042061702
185	0.5037584994
186	0.5032633451
187	0.5027697109
188	0.5021566644
189	0.5015710032
190	0.5011058381
191	0.500605779
192	0.5002573333
193	0.49983052
194	0.4995950712
195	0.4992125567
196	0.4986636666
197	0.4984480833
198	0.4980344827
199	0.4974556309
200	0.4971228171
201	0.4968147982
202	0.4962034236
203	0.4957477391
204	0.4954452605
205	0.4952729104
206	0.4949353986
207	0.4945859292
208	0.494168773
209	0.4935494627
210	0.4927722286
211	0.4923406998
212	0.4920653537
213	0.4916626243
214	0.49127624
215	0.4909648924
216	0.4905577174
217	0.4899958354
218	0.4895194157
219	0.4891500754
220	0.4888598671
221	0.4885869278
222	0.488272602
223	0.4878450104
224	0.4875093291
225	0.4871228069
226	0.4866193534
227	0.4862406831
228	0.4859123673
229	0.4855066955
230	0.4851222779
231	0.4848216462
232	0.4844894018
233	0.4842447322
234	0.4838803215
235	0.4834508544
