iter	Passed	Remaining
0	5	8345
1	11	8763
2	16	8423
3	22	8273
4	28	8478
5	33	8435
6	39	8396
7	46	8608
8	51	8542
9	57	8595
10	63	8649
11	69	8582
12	75	8641
13	80	8593
14	85	8510
15	92	8551
16	97	8492
17	102	8439
18	108	8491
19	114	8447
20	119	8422
21	126	8466
22	131	8424
23	136	8384
24	143	8455
25	148	8407
26	153	8382
27	160	8411
28	166	8447
29	174	8531
30	179	8513
31	185	8496
32	191	8513
33	197	8507
34	204	8548
35	210	8552
36	215	8523
37	221	8535
38	227	8514
39	232	8492
40	239	8505
41	244	8483
42	250	8484
43	256	8487
44	262	8500
45	269	8511
46	274	8483
47	279	8467
48	286	8477
49	291	8462
50	297	8455
51	304	8466
52	309	8454
53	316	8464
54	321	8455
55	327	8440
56	334	8474
57	340	8470
58	346	8470
59	353	8483
60	359	8490
61	366	8504
62	371	8481
63	377	8461
64	385	8519
65	392	8536
66	401	8585
67	408	8593
68	415	8618
69	420	8596
70	426	8579
71	432	8585
72	438	8568
73	443	8553
74	450	8557
75	456	8551
76	463	8570
77	470	8574
78	476	8571
79	483	8573
80	488	8554
81	495	8562
82	500	8547
83	505	8527
84	512	8525
85	517	8507
86	522	8480
87	545	8753
88	549	8719
89	554	8687
90	560	8673
91	565	8658
92	570	8635
93	577	8643
94	583	8633
95	589	8627
96	596	8622
97	601	8609
98	608	8615
99	615	8611
100	620	8596
101	626	8586
102	632	8572
103	637	8556
104	643	8554
105	649	8541
106	656	8548
107	662	8534
108	667	8517
109	674	8522
110	680	8513
111	685	8499
112	692	8497
113	697	8480
114	703	8477
115	709	8470
116	715	8452
117	721	8452
118	727	8439
119	732	8420
120	738	8415
121	743	8399
122	749	8386
123	756	8396
124	762	8382
125	768	8378
126	774	8376
127	781	8374
128	787	8371
129	792	8355
130	798	8340
131	804	8339
132	810	8325
133	815	8312
134	821	8308
135	826	8294
136	832	8278
137	838	8273
138	843	8256
139	848	8247
140	854	8239
141	860	8228
142	867	8233
143	873	8222
144	878	8211
145	884	8204
146	890	8198
147	895	8183
148	901	8177
149	907	8163
150	913	8159
151	919	8155
152	924	8139
153	931	8139
154	936	8130
155	942	8117
156	948	8111
157	953	8099
158	958	8087
159	965	8088
160	970	8074
161	976	8061
162	982	8055
163	989	8058
164	995	8055
165	1000	8042
166	1005	8029
167	1012	8029
168	1017	8016
169	1023	8004
170	1030	8006
171	1035	7997
172	1041	7990
173	1047	7985
174	1053	7976
175	1060	7980
176	1066	7970
177	1071	7955
178	1077	7954
179	1083	7942
180	1088	7928
181	1094	7922
182	1099	7915
183	1105	7910
184	1111	7900
185	1117	7891
186	1122	7880
187	1128	7874
188	1133	7864
189	1139	7854
190	1145	7848
191	1150	7836
192	1156	7834
193	1162	7825
194	1167	7812
195	1174	7813
196	1179	7803
197	1184	7791
198	1191	7788
199	1197	7782
200	1202	7774
201	1208	7766
202	1213	7756
203	1219	7745
204	1225	7738
205	1230	7726
206	1235	7717
207	1241	7708
208	1246	7698
209	1251	7689
210	1258	7685
211	1263	7676
212	1269	7673
213	1275	7665
214	1280	7654
215	1287	7651
216	1292	7643
217	1298	7635
218	1304	7631
219	1310	7624
220	1315	7613
221	1322	7613
222	1327	7601
223	1334	7600
224	1340	7593
225	1344	7581
226	1351	7579
227	1356	7568
228	1361	7558
229	1368	7556
230	1374	7548
231	1379	7538
232	1385	7532
233	1391	7530
234	1397	7520
235	1402	7513
236	1407	7502
237	1413	7493
238	1419	7488
239	1425	7484
240	1432	7485
241	1438	7476
242	1443	7465
243	1449	7461
244	1454	7449
245	1459	7438
246	1466	7437
247	1471	7427
248	1476	7419
249	1483	7416
250	1488	7407
251	1494	7398
252	1500	7397
253	1506	7389
254	1512	7386
255	1518	7380
256	1524	7373
257	1530	7367
258	1535	7357
259	1540	7347
260	1547	7345
261	1553	7339
262	1560	7340
263	1566	7334
264	1571	7324
265	1580	7330
266	1585	7323
267	1591	7315
268	1597	7308
269	1601	7297
270	1608	7294
271	1613	7286
272	1619	7276
273	1625	7272
274	1631	7265
275	1637	7260
276	1642	7251
277	1647	7242
278	1652	7232
279	1658	7227
280	1663	7217
281	1669	7208
282	1675	7204
283	1680	7193
284	1685	7184
285	1691	7181
286	1697	7173
287	1701	7162
288	1708	7159
289	1713	7150
290	1718	7139
291	1724	7134
292	1731	7131
293	1736	7122
294	1741	7114
295	1747	7106
296	1753	7100
297	1759	7095
298	1764	7085
299	1771	7085
300	1776	7075
301	1781	7065
302	1787	7061
303	1792	7053
304	1797	7043
305	1804	7039
306	1809	7030
307	1814	7021
308	1820	7017
309	1826	7010
310	1831	7002
311	1838	6999
312	1843	6992
313	1850	6990
314	1856	6983
315	1861	6974
316	1867	6970
317	1873	6963
318	1878	6954
319	1884	6950
320	1890	6942
321	1895	6933
322	1901	6928
323	1906	6920
324	1911	6911
325	1917	6906
326	1923	6898
327	1928	6889
328	1934	6884
329	1940	6880
330	1946	6873
331	1951	6865
332	1956	6856
333	1961	6848
334	1968	6845
335	1973	6838
336	1980	6834
337	1986	6828
338	1991	6819
339	1997	6814
340	2002	6806
341	2007	6798
342	2014	6794
343	2019	6785
344	2023	6775
345	2030	6772
346	2035	6762
347	2039	6752
348	2046	6749
349	2052	6743
350	2057	6736
351	2063	6730
352	2068	6721
353	2073	6713
354	2080	6709
355	2085	6701
356	2090	6694
357	2096	6686
358	2100	6677
359	2105	6668
360	2112	6663
361	2117	6655
362	2121	6646
363	2128	6641
364	2133	6633
365	2138	6626
366	2145	6623
367	2151	6619
368	2158	6617
369	2163	6606
370	2168	6599
371	2175	6595
372	2180	6587
373	2184	6575
374	2190	6571
375	2196	6564
376	2201	6557
377	2207	6552
378	2212	6544
379	2217	6535
380	2223	6531
381	2229	6523
382	2234	6515
383	2240	6511
384	2245	6503
385	2250	6495
