iter	Passed	Remaining
0	19	572781
1	36	546283
2	53	537331
3	71	539273
4	90	541993
5	107	535678
6	124	533013
7	140	525577
8	157	524145
9	173	520137
10	189	517790
11	205	514672
12	221	510885
13	237	508346
14	251	503667
15	269	504799
16	283	500281
17	300	500536
18	315	497799
19	332	497775
20	348	496871
21	364	496649
22	380	496027
23	394	493207
24	410	492150
25	426	492122
26	441	490185
27	457	490090
28	474	490696
29	490	490126
30	506	489721
31	521	488219
32	537	487720
33	550	485527
34	565	484293
35	582	484764
36	598	484430
37	614	484382
38	630	484345
39	646	483990
40	661	483519
41	677	482992
42	691	481982
43	707	481606
44	721	480225
45	736	479546
46	749	477969
47	765	477696
48	780	476958
49	793	475525
50	810	475967
51	827	476307
52	842	476048
53	856	474964
54	872	475180
55	888	475349
56	903	474649
57	917	473636
58	930	472376
59	946	472288
60	960	471283
61	974	470685
62	991	471003
63	1009	472160
64	1024	471852
65	1038	471119
66	1055	471392
67	1070	471351
68	1087	471712
69	1102	471537
70	1120	472241
71	1135	471947
72	1150	471469
73	1163	470697
74	1178	470150
75	1194	470214
76	1209	470149
77	1223	469336
78	1236	468439
79	1250	467562
80	1265	467366
81	1279	466956
82	1294	466567
83	1308	466129
84	1324	466279
85	1339	465851
86	1354	465604
87	1371	466170
88	1387	466255
89	1403	466493
90	1417	465887
91	1434	466477
92	1449	466178
93	1465	466222
94	1480	466166
95	1496	466234
96	1514	466764
97	1527	466224
98	1543	466194
99	1558	465890
100	1571	465236
101	1586	464931
102	1600	464636
103	1616	464657
104	1629	464061
105	1644	463917
106	1662	464542
107	1680	465059
108	1694	464658
109	1708	464189
110	1724	464383
111	1740	464460
112	1753	463849
113	1767	463280
114	1781	462851
115	1795	462506
116	1810	462412
117	1827	462681
118	1841	462292
119	1854	461876
120	1870	461841
121	1883	461345
122	1897	460955
123	1916	461669
124	1933	462096
125	1950	462369
126	1966	462474
127	1982	462716
128	1996	462416
129	2011	462254
130	2026	462106
131	2043	462285
132	2056	461925
133	2072	461989
134	2088	461916
135	2104	462136
136	2120	462322
